time,x,y,positions0,positions1,positions2
1729,256,622,429,429,403
3033,89,139,344,513,409
3049,88,142,399,468,395
3065,87,143,389,475,399
3081,87,142,378,477,408
3097,86,142,383,479,401
3115,86,141,377,478,408
3131,86,142,387,473,403
3147,87,141,377,475,412
3163,89,141,382,468,413
3179,92,142,387,461,414
3195,93,144,392,467,403
3212,97,145,386,458,418
3228,102,148,395,450,416
3255,111,154,400,444,417
3271,116,157,395,450,416
3294,123,166,414,440,408
3310,129,171,407,439,416
3326,137,180,429,419,413
3343,143,212,553,371,347
3359,148,198,310,495,463
3375,157,207,430,415,417
3391,166,219,447,406,408
3407,173,228,431,422,408
3423,182,239,442,408,411
3443,193,253,444,408,410
3463,205,266,440,406,415
3483,221,281,450,388,424
3499,227,293,450,415,396
3515,237,305,451,399,412
3531,247,317,452,398,412
3547,259,331,463,384,415
3563,269,341,442,402,418
3579,278,354,459,398,405
3596,287,364,443,405,413
3612,296,379,467,396,400
3632,306,395,460,400,402
3655,318,410,448,404,409
3675,329,424,453,400,409
3695,338,434,436,414,411
3712,348,444,447,397,417
3730,357,453,440,407,415
3747,368,466,457,393,412
3765,379,472,425,406,431
3790,392,485,441,406,415
3815,406,499,443,403,416
3832,419,508,443,388,431
3850,429,517,443,399,420
3868,440,526,441,398,423
3885,451,536,447,395,420
3903,461,541,424,407,431
3924,474,559,472,383,408
3946,485,569,440,404,418
3968,329,581,449,619,222
3989,507,596,459,218,613
4011,518,608,453,394,414
4035,532,621,449,393,419
4052,543,630,451,387,425
4071,549,641,459,402,401
4089,559,652,460,387,415
4108,568,663,461,390,411
4126,578,673,454,391,417
4143,587,688,483,379,402
4161,595,699,466,388,408
4178,605,709,459,386,417
4196,615,719,463,381,418
4213,621,730,466,396,401
4231,629,740,464,387,411
4249,637,749,457,392,413
4267,646,760,468,383,411
4285,652,770,464,395,403
4303,661,777,450,391,421
4322,668,787,465,390,407
4339,676,795,454,393,415
4357,684,801,449,392,421
4374,691,810,462,391,409
4391,699,814,439,396,426
4410,706,821,456,392,415
4427,712,824,434,408,420
4448,722,836,471,379,412
4466,727,694,209,532,544
4484,733,846,682,303,318
4502,739,850,442,401,419
4519,746,855,447,395,420
4538,750,863,465,396,402
4555,756,868,447,399,416
4573,763,874,456,388,418
4591,769,881,459,391,412
4609,775,886,450,395,416
4626,782,893,461,386,415
4643,788,899,458,389,415
4668,797,906,452,391,418
4685,800,910,449,404,408
4722,811,918,448,396,417
4739,815,923,455,396,410
4763,802,923,430,461,372
4781,821,919,409,363,493
4799,821,917,420,429,413
4817,823,916,425,419,418
4835,825,908,391,436,435
4853,826,912,450,410,402
4870,828,911,425,418,418
4887,829,909,420,424,417
4904,830,905,410,429,423
4923,833,903,420,416,425
4941,834,901,421,423,417
4958,835,898,416,426,420
5033,846,902,435,409,417
5052,847,903,436,415,411
5069,849,905,441,408,412
5086,851,906,437,410,415
5103,853,908,442,407,412
5121,855,911,448,404,410
5138,856,912,437,413,411
5155,859,917,459,395,408
5173,860,917,433,414,414
5191,863,916,429,410,423
5209,864,916,434,414,414
5226,867,916,434,407,421
5242,867,916,434,417,410
5261,871,914,423,406,432
5282,874,911,423,414,425
5300,873,909,424,425,412
5317,877,908,430,404,428
5334,879,907,429,411,421
5351,878,907,435,419,407
5369,882,907,435,400,427
5388,883,906,430,414,417
5405,885,907,440,406,416
5423,887,910,451,399,411
5441,889,908,426,412,424
5458,891,909,441,404,416
5476,894,909,436,402,423
5494,896,909,437,406,419
5512,899,908,432,404,425
5529,899,910,447,407,407
5547,902,910,437,400,424
5563,902,910,437,412,412
5580,905,910,438,399,425
5597,906,912,448,402,411
5615,906,913,443,408,410
5633,909,913,438,400,424
5654,908,915,447,409,406
5672,908,914,434,412,415
5690,907,912,429,418,414
5707,909,912,439,402,420
5725,908,911,434,416,412
5741,908,911,440,409,413
5760,909,909,429,410,423
5778,910,908,435,407,419
5795,911,908,440,405,417
5813,912,907,435,407,420
5829,912,907,440,408,413
5847,912,908,446,405,411
5863,912,908,441,407,413
5880,914,908,441,399,422
5896,914,908,441,407,414
5913,914,909,447,404,411
5931,914,910,447,404,411
5947,914,910,442,406,414
5964,914,911,448,403,411
5982,914,908,427,413,421
5999,914,910,453,400,409
6017,913,911,448,406,407
6035,912,910,480,209,600
6053,912,911,449,398,414
6069,912,911,444,401,417
6085,912,911,444,400,417
6102,915,910,439,391,432
6120,915,909,440,402,420
6137,916,908,440,398,423
6156,914,907,440,409,412
6174,915,904,431,402,428
6192,913,903,440,408,413
6209,912,900,430,409,421
6226,911,895,419,415,427
6244,909,892,429,414,418
6262,908,887,420,414,427
6279,907,886,440,404,417
6296,907,883,429,406,426
6315,904,882,440,412,410
6333,902,879,431,412,419
6350,900,877,435,410,416
6368,901,876,440,397,425
6386,900,873,430,408,422
6403,898,871,435,410,416
6419,898,871,445,397,419
6437,899,871,446,393,423
6456,898,871,446,400,415
6473,897,869,436,405,420
6490,896,870,451,398,413
6508,895,869,441,403,418
6526,893,868,441,406,414
6545,890,865,432,413,416
6563,890,866,451,394,417
6581,886,863,432,418,412
6599,885,863,447,400,416
6617,883,862,442,405,414
6634,881,861,442,405,414
6652,880,861,447,399,415
6670,877,861,447,406,408
6776,869,860,446,401,414
6793,869,859,442,398,421
6811,866,860,453,404,405
6829,864,858,438,407,416
6847,864,859,453,393,416
6865,862,857,438,407,416
6883,863,858,453,389,420
6901,860,858,448,405,408
6919,858,857,444,404,414
6937,857,859,459,393,410
6958,336,620,212,817,339
7007,848,861,672,141,500
7025,846,858,433,410,418
7043,842,858,449,409,404
7059,842,858,449,395,418
7076,840,857,444,405,412
7095,839,858,455,396,411
7113,838,856,440,402,419
7131,839,853,435,398,429
7149,840,853,450,390,422
7168,837,850,435,412,415
7185,836,848,441,402,419
7202,834,847,445,404,413
7219,833,845,440,402,420
7236,830,846,455,402,404
7254,828,846,450,401,410
7271,827,844,441,402,419
7288,824,844,451,405,407
7305,823,847,467,389,406
7347,818,839,434,409,418
7365,816,840,456,398,408
7382,815,840,451,397,414
7400,813,836,430,411,420
7418,811,837,456,398,408
7436,811,834,436,400,425
7470,809,827,432,406,423
7488,808,825,441,402,419
7505,807,822,436,404,422
7523,806,820,440,402,419
7541,803,816,431,413,417
7559,801,816,451,400,411
7576,802,815,446,392,424
7595,800,813,440,406,416
7612,797,813,451,403,408
7630,798,810,435,397,430
7648,793,808,441,416,405
7665,794,806,441,394,427
7682,794,802,430,403,429
7700,793,800,440,402,420
7718,790,799,446,406,410
7736,790,796,436,400,426
7754,790,793,436,400,426
7772,785,790,435,418,408
7790,785,789,445,395,421
7808,783,785,430,410,421
7826,782,785,450,396,415
7843,778,781,430,417,414
7861,776,778,434,408,419
7878,775,777,445,399,418
7895,773,776,445,403,414
7913,773,774,440,398,424
7930,770,775,455,401,406
7949,769,772,434,404,423
7966,767,772,450,400,412
7983,768,771,445,392,425
8001,764,771,450,408,403
8019,764,769,440,398,424
8038,761,769,450,404,408
8056,762,765,432,399,431
8074,759,765,450,404,408
8092,759,762,435,400,426
8110,756,761,445,406,410
8128,755,757,430,406,425
8145,753,757,450,400,412
8164,751,755,440,406,416
8181,749,753,441,404,417
8198,746,751,439,410,412
8216,747,751,450,389,423
8235,744,749,440,409,413
8314,735,746,446,402,413
8332,734,744,439,402,420
8349,733,745,455,395,412
8367,732,743,439,402,420
8385,731,742,445,400,417
8402,730,743,455,395,412
8421,729,742,445,400,417
8438,729,741,445,396,421
8455,728,741,450,397,415
8472,726,742,455,398,408
8491,724,740,440,406,416
8508,723,740,450,397,415
8526,723,737,434,401,426
8544,721,737,450,401,411
8561,720,737,450,397,415
8578,720,735,440,398,423
8595,720,734,445,396,421
8613,717,733,445,407,409
8631,717,730,435,401,426
8649,716,730,450,397,415
8666,716,729,445,396,421
8683,713,727,440,410,412
8700,711,726,445,404,413
8719,709,723,434,409,418
8735,709,723,450,394,418
8752,706,723,450,406,406
8770,705,722,445,400,417
8788,703,720,440,406,416
8806,701,719,445,403,414
8824,699,720,455,399,408
8841,699,716,430,403,428
8859,698,713,434,405,422
8877,696,713,450,401,411
8894,695,713,450,398,414
8912,694,709,429,408,425
8931,695,708,445,393,424
8948,692,705,435,411,415
8965,691,702,434,406,422
8982,689,702,449,402,411
9000,689,701,444,397,421
9018,688,698,434,405,422
9036,687,696,506,198,584
9054,685,697,455,396,411
9070,685,697,450,391,421
9088,682,695,439,408,414
9106,679,697,460,397,405
9124,678,694,435,402,424
9207,669,691,447,400,415
9225,665,690,445,409,408
9242,664,690,450,395,417
9259,663,686,429,406,427
9277,660,685,444,406,411
9294,658,685,450,399,413
9331,655,679,435,404,422
9348,656,680,455,386,421
9366,654,678,439,405,418
9383,654,675,434,399,428
9402,651,676,455,401,406
9420,649,675,445,401,416
9438,645,672,434,414,413
9454,645,672,449,393,420
9472,642,669,432,413,416
9490,640,671,459,395,408
9508,636,668,434,414,413
9524,636,668,449,393,420
9541,633,668,449,405,408
9559,630,667,444,407,411
9640,623,664,445,401,415
9658,620,660,429,414,418
9676,621,657,434,398,430
9694,620,658,453,395,413
9712,619,657,443,400,418
9786,612,654,445,402,415
9803,611,651,433,405,423
9821,609,651,448,402,412
9838,607,651,448,402,412
9856,605,651,448,402,411
9874,602,652,453,403,406
9891,600,653,453,400,409
9909,599,656,464,391,407
9927,596,657,453,403,405
9944,595,659,459,394,410
9962,592,659,449,406,407
9979,593,658,444,394,424
9998,592,658,449,399,414
10015,589,660,458,401,403
10022,588,661,454,396,411
10040,588,660,436,401,424
10086,583,658,445,404,413
10104,582,658,449,399,414
10121,580,654,429,412,420
10139,578,654,449,403,410
10156,578,650,429,405,427
10174,577,651,454,397,411
10218,575,644,434,406,422
10235,574,644,448,400,414
10254,572,642,437,409,415
10272,571,640,438,404,419
10289,570,640,448,400,414
10307,569,638,437,405,419
10324,567,636,438,409,415
10342,569,636,447,390,425
10358,566,635,442,411,409
10375,566,637,459,392,412
10393,565,638,453,398,411
10515,558,638,448,401,413
10531,558,638,448,397,417
10548,557,639,453,399,410
10564,557,639,448,397,417
10582,556,637,436,407,418
10599,556,638,453,395,414
10617,554,638,448,405,409
10634,553,637,443,403,415
10652,552,636,442,404,415
10670,551,635,442,404,415
10686,551,635,447,398,417
10704,549,634,442,409,411
10722,547,632,437,410,414
10740,545,630,437,410,414
10757,544,630,447,402,413
10774,542,629,442,409,411
10792,545,628,442,390,430
10811,543,628,447,406,409
10829,544,627,442,397,422
10846,543,628,452,400,410
10863,542,625,431,410,420
10881,541,624,441,405,415
10899,542,622,437,400,425
10917,542,625,462,392,409
10936,543,622,432,402,427
10954,541,622,446,406,409
10971,540,619,432,410,420
10989,539,619,446,403,412
11008,538,618,441,405,415
11025,533,620,456,412,394
11043,535,620,446,392,424
11060,533,621,451,404,406
11077,532,620,441,406,414
11216,527,615,443,404,415
11234,526,612,430,412,420
11252,527,614,456,392,414
11270,528,611,431,404,427
11288,528,612,451,398,413
11304,528,612,446,400,416
11322,529,611,440,399,423
11339,532,608,431,397,434
11356,532,613,472,388,403
11374,532,612,440,403,418
11392,534,611,441,395,426
11409,536,611,445,393,423
11427,535,611,445,404,412
11445,535,613,455,395,411
11463,533,612,441,410,411
11481,533,613,450,398,413
11498,532,614,451,402,410
11516,531,613,440,407,414
11535,529,612,441,410,411
11552,528,612,445,404,412
11569,528,610,435,406,421
11586,529,611,451,395,417
11604,529,612,451,398,413
11623,528,612,445,404,412
11641,531,614,455,385,421
11660,532,615,451,395,417
11678,531,617,455,399,407
11695,532,618,451,395,417
11712,532,617,440,403,418
11729,532,621,467,390,405
11748,532,618,430,408,423
11766,531,620,455,399,407
11782,531,620,446,401,415
11815,528,620,446,407,409
11834,529,615,420,410,432
11850,529,615,446,401,415
11868,528,611,423,416,422
11886,530,612,450,392,420
11904,530,611,440,404,418
11922,531,609,435,402,424
11940,532,607,435,402,424
11957,533,605,435,403,424
12003,534,605,445,400,417
12020,535,602,431,405,426
12037,533,601,468,214,607
12055,535,600,439,385,437
12071,535,600,445,390,427
12089,535,601,450,387,425
12106,535,602,450,387,425
12123,535,601,439,392,430
12141,534,601,445,393,424
12157,534,601,445,389,428
12175,532,601,445,397,420
12193,528,601,445,404,413
12209,528,601,445,389,428
12226,524,601,445,406,411
12244,522,600,439,400,423
12263,519,600,444,400,417
12280,518,599,439,396,427
12298,514,599,444,405,412
12316,512,598,439,399,423
12333,510,597,439,399,423
12350,509,597,444,394,424
12368,507,597,444,397,420
12401,503,597,444,398,420
12419,500,597,444,401,416
12436,497,598,449,398,414
12454,494,598,444,402,416
12461,491,598,444,401,416
12478,489,598,444,409,409
12496,486,597,439,404,418
12515,472,564,289,526,456
12536,481,596,574,310,392
12554,478,597,449,400,413
12571,475,597,444,402,416
12588,471,596,439,409,414
12606,470,596,444,395,423
12624,469,597,449,392,421
12643,466,597,444,401,417
12660,465,598,449,392,421
12677,462,599,449,400,413
12694,461,600,449,392,420
12712,460,600,444,395,423
12730,456,599,439,408,415
12747,456,601,454,386,422
12764,455,600,439,397,425
